Gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,brain_region,Subclass,Class,Comparison,Count,CCA,RCCA,RTSS,,,GO Cell-Cell Adhesion,GO Regulation of Cell-Cell Adhesion,GO Regulation of trans-synaptic signaling
2010204K13Rik,2.88E-104,0.257044943,0.994,0.806,1.01E-99,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Alcam,Abat,Abhd6
2900055J20Rik,1.91E-57,0.317721614,1,1,6.73E-53,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Astn1,Adk,Abr
3830406C13Rik,1.93E-62,-0.258175857,0.957,0.989,6.81E-58,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Atp1b2,Bcl6,Adcy1
6330403K07Rik,6.07E-100,-0.504391856,0.997,1,2.14E-95,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Atp2c1,Car11,Adcyap1
8430419L09Rik,1.24E-73,0.345023172,1,0.999,4.36E-69,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Bcl2,Cbfb,Adora1
9330182L06Rik,1.26E-62,-0.266213185,0.883,0.987,4.42E-58,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cadm1,Cd47,Akap5
A830018L16Rik,1.15E-79,-0.370693633,0.951,0.988,4.06E-75,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cadm3,Cd81,Akap7
Abhd6,8.18E-99,0.410676646,1,0.99,2.88E-94,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,Cd200,Cd83,Apba2
Ablim2,4.50E-79,0.39564692,1,0.98,1.59E-74,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cd34,Celsr2,App
Abracl,9.87E-91,-0.343922923,0.625,0.958,3.48E-86,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cd47,Coro1a,Arc
Acap2,2.66E-69,0.344554428,0.997,0.992,9.37E-65,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cdh10,Cx3cl1,Atf4
Actr3b,1.13E-80,0.366738212,1,1,3.97E-76,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cdh11,Cxcl12,Atp2a2
Adcy9,1.31E-89,0.32531913,0.991,0.875,4.63E-85,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cdh12,Cyld,Atp2b2
Adcyap1,5.99E-69,-0.530050158,0.535,0.927,2.11E-64,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,Cdh13,Dlg1,Baiap2
Adk,1.06E-55,-0.275004636,1,0.999,3.73E-51,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,1,,,,Cdh18,Dmtn,Bdnf
Adora1,4.36E-52,-0.258061991,0.852,0.99,1.54E-47,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,,,Cdh22,Dusp3,Bscl2
Agbl4,6.18E-96,-0.30008414,0.769,0.977,2.18E-91,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cdh6,Efna5,Btbd9
AI413582,1.06E-94,-0.370297952,1,1,3.72E-90,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,,,,Cdh8,Efnb2,Cacnb3
