Gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,brain_region,Subclass,Class,Comparison,CCA,RCCA,RTSS,Count,avg_FC
Abhd6,8.18E-99,0.410676646,1,0.99,2.88E-94,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.507837712
Adcyap1,5.99E-69,-0.530050158,0.535,0.927,2.11E-64,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.588575447
Adk,1.06E-55,-0.275004636,1,0.999,3.73E-51,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,1,,1,0.759568602
Adora1,4.36E-52,-0.258061991,0.852,0.99,1.54E-47,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.77254734
Alcam,4.26E-107,0.613416549,1,0.825,1.50E-102,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,1.846730077
Atp1b2,2.40E-101,-0.430218198,0.886,0.99,8.45E-97,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,0.65036717
Baiap2,1.13E-90,0.415801344,1,1,3.97E-86,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.515584759
Cacnb4,7.59E-51,-0.320831801,1,1,2.67E-46,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.725545277
Cacng3,9.26E-146,0.554451986,1,1,3.26E-141,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.740986638
Calb1,1.76E-193,2.06568399,1,0.498,6.18E-189,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,7.890693208
Cd81,6.76E-69,-0.297038603,1,1,2.38E-64,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,1,,1,0.743015329
Cdh10,1.89E-72,-0.365855007,0.96,0.997,6.67E-68,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,0.693603362
Cdh13,5.25E-52,0.394984984,0.631,0.309,1.85E-47,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,1.484361902
Cdh8,1.70E-39,-0.321063903,0.905,0.941,5.97E-35,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,0.725376896
Celf4,2.47E-96,-0.410458851,1,1,8.68E-92,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.663345803
Cfl1,1.62E-88,-0.283812994,1,1,5.72E-84,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.75290743
Cnr1,5.74E-80,-0.475464149,1,0.995,2.02E-75,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,1,1,0.621596476
Cplx2,2.49E-164,0.784578798,1,0.823,8.76E-160,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,2.191483689
Cspg5,7.48E-87,-0.487455983,0.997,1,2.63E-82,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.61418691
Cx3cl1,1.76E-33,0.271743835,1,1,6.20E-29,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,1,,1,1.312250806
Cyld,1.56E-68,0.335684227,1,0.978,5.48E-64,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,1,,1,1.398897221
Cyp46a1,2.36E-96,0.461886753,1,1,8.30E-92,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.587065563
Dab1,6.83E-154,0.623512959,1,0.885,2.41E-149,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,1.865469864
Dgkb,3.63E-128,0.811524491,1,0.93,1.28E-123,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,2.251337516
Dnm1,2.67E-51,-0.296114415,1,1,9.40E-47,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.743702332
Egln1,1.06E-88,0.331471166,0.975,0.802,3.72E-84,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.393015979
Epha4,3.52E-31,-0.258607176,1,1,1.24E-26,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.772126273
Ephb6,2.77E-54,-0.328408927,0.957,0.997,9.75E-50,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,1,,1,0.720068504
Fat3,2.39E-73,-0.356532115,0.831,0.991,8.42E-69,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,0.700099987
Fez1,1.09E-157,0.613788273,1,1,3.85E-153,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.847416678
Flrt3,4.51E-41,0.259379733,0.948,0.795,1.59E-36,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,1.296125893
Gnas,3.02E-115,-0.361971892,1,1,1.06E-110,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,1,,,1,0.696301939
Gria4,8.30E-41,-0.31043494,0.997,1,2.92E-36,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.73312802
Grin2b,4.42E-65,0.291915786,1,1,1.56E-60,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.338990251
Grm2,2.70E-64,-0.306246414,0.843,0.995,9.52E-60,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.736205186
Grm3,1.77E-125,-0.536815455,0.822,0.998,6.22E-121,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.584606998
Grm5,3.83E-43,0.284376798,1,1,1.35E-38,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.328933576
Gucy1a3,3.46E-126,0.565722419,0.994,0.848,1.22E-121,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.7607193
Gucy1b3,1.36E-52,0.250963519,1,1,4.79E-48,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.285263196
Itpka,2.81E-74,0.334675103,1,1,9.88E-70,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.397486272
Map1a,1.14E-49,0.261525234,1,0.999,4.01E-45,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.298909718
Mapk1,2.09E-145,0.53298424,1,1,7.36E-141,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.704009903
Ncdn,1.39E-71,0.510476162,1,1,4.89E-67,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.666084332
Ndfip1,9.86E-154,-0.613952551,1,1,3.47E-149,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,1,,1,0.541207486
Nrn1,1.81E-64,-0.355203017,1,1,6.39E-60,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.701031108
Nsg1,2.14E-81,0.25403558,1,1,7.53E-77,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.289217674
Pde4a,8.17E-82,-0.265019314,0.889,0.996,2.88E-77,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,0.767191132
Plcb4,6.77E-32,0.255949094,0.963,0.889,2.38E-27,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.291686972
Plk2,4.86E-39,0.299257828,1,0.999,1.71E-34,ALM,L2/3 IT vs L5 IT,Glut,Glut ALM L2/3 IT vs L5 IT,,,1,1,1.348857352
